titulo;data_inicio;data_fim;certificado;icone
Python Brasil: Validação de dados no padrão nacional;2020-01-21;2020-01-23;https://cursos.alura.com.br/user/viniantunes/course/python-validacao-dados/certificate;https://www.alura.com.br/assets/api/cursos/python-validacao-dados.svg
Foco: Trazendo mais resultados para o dia a dia;2020-01-13;2020-01-30;https://cursos.alura.com.br/user/viniantunes/course/foco-o-poder-do-habito-seu-dia-a-dia/certificate;https://www.alura.com.br/assets/api/cursos/foco-o-poder-do-habito-seu-dia-a-dia.svg
Testes automatizados: TDD com Python;2020-01-24;2020-02-02;https://cursos.alura.com.br/user/viniantunes/course/tdd-com-python/certificate;https://www.alura.com.br/assets/api/cursos/tdd-com-python.svg
HTTP: Entendendo a web por baixo dos panos;2020-02-02;2020-02-08;https://cursos.alura.com.br/user/viniantunes/course/http-fundamentos/certificate;https://www.alura.com.br/assets/api/cursos/http-fundamentos.svg
Lógica de programação II: pratique com desenhos, animações e um jogo;2020-02-05;2020-02-10;https://cursos.alura.com.br/user/viniantunes/course/logica-programacao-pratica-com-desenho-animacoes-em-jogo/certificate;https://www.alura.com.br/assets/api/cursos/logica-programacao-pratica-com-desenho-animacoes-em-jogo.svg
HTML5 e CSS3 parte 1: A primeira página da Web;2020-02-10;2020-02-10;https://cursos.alura.com.br/user/viniantunes/course/html5-css3-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/html5-css3-primeiros-passos.svg
Flask parte 1: Crie uma webapp com Python 3;2020-02-10;2020-02-12;https://cursos.alura.com.br/user/viniantunes/course/flask-rotas-templates-autenticacao/certificate;https://www.alura.com.br/assets/api/cursos/flask-rotas-templates-autenticacao.svg
Pontos fortes parte 1: descubra os seus e aprenda a gerenciá-los;2020-01-30;2020-02-19;https://cursos.alura.com.br/user/viniantunes/course/pontos-fortes/certificate;https://www.alura.com.br/assets/api/cursos/pontos-fortes.svg
Currículo: como chamar a atenção dos entrevistadores;2020-02-15;2020-02-22;https://cursos.alura.com.br/user/viniantunes/course/curriculos/certificate;https://www.alura.com.br/assets/api/cursos/curriculos.svg
LinkedIn: Como fazer o seu perfil trabalhar para você;2020-02-22;2020-02-24;https://cursos.alura.com.br/user/viniantunes/course/linkedin-perfil-profissional/certificate;https://www.alura.com.br/assets/api/cursos/linkedin-perfil-profissional.svg
Análise de dados: Introdução com Excel;2020-02-26;2020-02-26;https://cursos.alura.com.br/user/viniantunes/course/analise-de-dados-excel/certificate;https://www.alura.com.br/assets/api/cursos/analise-de-dados-excel.svg
Estrutura de dados: Pilhas, filas e listas com Python;2020-02-24;2020-02-26;https://cursos.alura.com.br/user/viniantunes/course/estrutura-de-dados-python/certificate;https://www.alura.com.br/assets/api/cursos/estrutura-de-dados-python.svg
Python para Data Science: Introdução à linguagem e Numpy;2020-02-26;2020-02-29;https://cursos.alura.com.br/user/viniantunes/course/python-tipos-listas-numpy/certificate;https://www.alura.com.br/assets/api/cursos/python-tipos-listas-numpy.svg
Python para Data Science: Funções, Pacotes e Pandas básico;2020-02-29;2020-03-02;https://cursos.alura.com.br/user/viniantunes/course/python-funcoes-pacotes-pandas/certificate;https://www.alura.com.br/assets/api/cursos/python-funcoes-pacotes-pandas.svg
Java JRE e JDK: Escreva o seu primeiro código com Eclipse;2020-03-06;2020-03-06;https://cursos.alura.com.br/user/viniantunes/course/java-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/java-primeiros-passos.svg
Estatística com Python parte 1: Frequências e Medidas;2020-03-04;2020-03-07;https://cursos.alura.com.br/user/viniantunes/course/estatistica-distribuicoes-e-medidas/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-distribuicoes-e-medidas.svg
Estatística com Python parte 2: Probabilidade e Amostragem;2020-03-07;2020-03-18;https://cursos.alura.com.br/user/viniantunes/course/estatistica-probabilidade-e-amostragem/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-probabilidade-e-amostragem.svg
Python Pandas: Tratando e analisando dados;2020-03-18;2020-03-21;https://cursos.alura.com.br/user/viniantunes/course/introducao-python-pandas/certificate;https://www.alura.com.br/assets/api/cursos/introducao-python-pandas.svg
Matemática: sistemas de equações algébricas lineares;2020-03-19;2020-03-22;https://cursos.alura.com.br/user/viniantunes/course/equacoes-algebricas-lineares/certificate;https://www.alura.com.br/assets/api/cursos/equacoes-algebricas-lineares.svg
