quando|cidade|pais|nascer_do_sol|por_do_sol|velocidade_vento|ang_vento|visibilidade|temperatura_min|temperatura_max|pressao|umidade|sensacao_termica|condicao_meteorologica|descricao|longitude|latitude
2021-09-21 23:16:29|Queluz|PT|2021-09-21 07:23:52|2021-09-21 19:36:21|0.89|52|10000|15.31|21.96|1017|44|20.32|Clear|céu limpo|-9.2545|38.7566
2021-09-21 19:16:33|Valentim Gentil|BR|2021-09-21 06:10:42|2021-09-21 18:16:05|1.46|232|10000|31.9|31.9|1007|15|29.71|Clear|céu limpo|-50.0875|-20.4222
2021-09-21 19:16:36|Palmares Paulista|BR|2021-09-21 06:05:34|2021-09-21 18:10:55|4.4|231|10000|35.18|35.18|1007|17|32.92|Clouds|nublado|-48.8008|-21.0831
2021-09-21 19:16:39|Joanópolis|BR|2021-09-21 05:55:31|2021-09-21 18:00:47|3.68|140|10000|17.04|17.27|1016|89|17.38|Clouds|nublado|-46.2756|-22.9303
2021-09-21 19:16:43|Ribeirão Bonito|BR|2021-09-21 06:03:06|2021-09-21 18:08:24|8.91|156|10000|28.96|28.96|1010|44|28.94|Clouds|nublado|-48.1761|-22.0667
2021-09-21 19:16:47|Presidente Bernardes|BR|2021-09-21 06:16:36|2021-09-21 18:21:55|2.9|169|10000|33.21|33.21|1007|17|30.96|Clouds|nublado|-51.5531|-22.0061
2021-09-21 19:16:50|Tapiratiba|BR|2021-09-21 05:57:23|2021-09-21 18:02:42|1.75|183|10000|28.17|28.17|1009|26|27.05|Clouds|nublado|-46.7486|-21.4683
2021-09-22 01:15:22|Palestine|PS|2021-09-22 06:27:21|2021-09-22 18:36:33|2.0|285|10000|18.59|21.08|1013|54|20.24|Clear|céu limpo|35.2033|31.9216
2021-09-21 19:16:57|Mineiros do Tietê|BR|2021-09-21 06:04:12|2021-09-21 18:09:29|9.15|139|10000|33.66|33.66|1011|63|40.66|Clouds|nublado|-48.4506|-22.4094
2021-09-21 19:17:00|Sete Barras|BR|2021-09-21 06:02:09|2021-09-21 18:07:21|2.89|148|10000|17.92|17.92|1019|93|18.2|Clouds|nublado|-47.9256|-24.3878
2021-09-21 19:17:04|Cananéia|BR|2021-09-21 06:02:10|2021-09-21 18:07:21|5.84|183|10000|17.54|17.54|1020|89|17.67|Clouds|nublado|-47.9267|-25.0147
2021-09-21 19:17:07|Riolândia|BR|2021-09-21 06:09:04|2021-09-21 18:14:28|1.79|283|10000|33.48|33.48|1007|14|31.08|Clear|céu limpo|-49.6819|-19.9808
2021-09-21 19:17:11|Duartina|BR|2021-09-21 06:08:01|2021-09-21 18:13:18|3.66|228|10000|34.64|34.64|1008|18|32.45|Clouds|nuvens dispersas|-49.4039|-22.4144
2021-09-21 19:17:14|Chavantes|BR|2021-09-21 06:09:15|2021-09-21 18:14:31|1.04|151|10000|29.18|29.18|1008|26|27.81|Clouds|nublado|-49.7094|-23.0389
2021-09-21 19:17:18|Tabapuã|BR|2021-09-21 06:06:30|2021-09-21 18:11:51|4.37|221|10000|35.05|35.05|1007|17|32.79|Clouds|nublado|-49.0317|-20.9642
2021-09-21 19:17:21|Ibirá|BR|2021-09-21 06:07:20|2021-09-21 18:12:41|3.62|220|10000|35.56|35.56|1007|17|33.32|Clouds|nublado|-49.2408|-21.0803
2021-09-21 19:17:25|Bocaina|BR|2021-09-21 06:04:31|2021-09-21 18:09:49|7.4|148|10000|33.67|33.67|1009|44|35.9|Clouds|nublado|-48.5295|-22.1442
2021-09-21 19:17:28|Cardoso|BR|2021-09-21 06:10:00|2021-09-21 18:15:24|1.74|285|10000|32.67|32.67|1007|17|30.46|Clear|céu limpo|-49.9142|-20.0819
2021-09-21 19:17:32|São Sebastião da Grama|BR|2021-09-21 05:57:40|2021-09-21 18:02:59|2.84|161|10000|26.78|26.78|1009|31|26.32|Clouds|nublado|-46.8208|-21.7106
2021-09-21 19:17:35|Guaiçara|BR|2021-09-21 06:09:35|2021-09-21 18:14:55|1.11|338|10000|32.28|32.28|1007|17|30.1|Clouds|nuvens dispersas|-49.8013|-21.6195
2021-09-21 19:17:39|Lavínia|BR|2021-09-21 06:14:32|2021-09-21 18:19:53|0.97|217|10000|32.42|32.42|1006|15|30.16|Clouds|nuvens dispersas|-51.0397|-21.1683
2021-09-21 19:17:42|Sales Oliveira|BR|2021-09-21 06:01:43|2021-09-21 18:07:05|1.23|27|10000|33.83|33.83|1007|18|31.62|Clouds|nublado|-47.8381|-20.7719
2021-09-21 19:17:46|Bofete|BR|2021-09-21 06:03:27|2021-09-21 18:08:42|7.12|151|10000|17.79|17.79|1014|84|17.82|Clouds|nublado|-48.2578|-23.1022
2021-09-21 19:17:49|Iacanga|BR|2021-09-21 06:06:29|2021-09-21 18:11:48|2.59|270|10000|35.09|35.09|1007|18|32.93|Clouds|nublado|-49.0247|-21.89
2021-09-21 19:17:53|Nhandeara|BR|2021-09-21 06:10:31|2021-09-21 18:15:53|1.71|227|10000|35.1|35.1|1007|15|32.67|Clouds|algumas nuvens|-50.0383|-20.6942
2021-09-21 19:17:56|Pirangi|BR|2021-09-21 06:05:00|2021-09-21 18:10:21|4.16|227|10000|31.77|31.77|1007|17|29.65|Clouds|nublado|-48.6578|-21.0914
2021-09-21 19:18:00|Getulina|BR|2021-09-21 06:10:06|2021-09-21 18:15:25|0.43|202|10000|32.61|32.61|1007|16|30.36|Clouds|nuvens dispersas|-49.9286|-21.7986
2021-09-21 19:18:03|Pedro de Toledo|BR|2021-09-21 05:59:22|2021-09-21 18:04:35|1.72|152|10000|18.57|18.57|1019|96|18.99|Clouds|nublado|-47.2328|-24.2747
2021-09-21 19:18:07|Estiva Gerbi|BR|2021-09-21 05:58:13|2021-09-21 18:03:30|6.21|157|10000|28.88|28.88|1010|63|31.29|Clouds|nublado|-46.9525|-22.2755
2021-09-21 19:18:10|Guaraci|BR|2021-09-21 06:06:08|2021-09-21 18:11:31|3.23|252|10000|35.33|35.33|1007|15|32.9|Clouds|nublado|-48.9447|-20.4986
2021-09-21 19:18:14|Nova Europa|BR|2021-09-21 06:04:39|2021-09-21 18:09:58|2.73|246|10000|32.81|32.81|1007|18|30.63|Clouds|nublado|-48.5662|-21.7808
2021-09-21 19:18:17|Ilha Comprida|BR|2021-09-21 06:00:40|2021-09-21 18:05:51|7.73|173|10000|18.72|18.72|1019|85|18.87|Clouds|nublado|-47.5526|-24.7445
2021-09-21 19:18:21|Bernardino de Campos|BR|2021-09-21 06:08:18|2021-09-21 18:13:34|5.86|136|10000|26.42|26.42|1010|37|26.42|Clouds|nublado|-49.4742|-23.0131
2021-09-21 19:18:24|Divinolândia|BR|2021-09-21 05:57:20|2021-09-21 18:02:39|2.08|165|10000|25.86|25.86|1010|30|25.28|Clouds|nublado|-46.7371|-21.6605
2021-09-21 19:18:28|Areiópolis|BR|2021-09-21 06:05:04|2021-09-21 18:10:21|6.68|126|10000|33.76|33.76|1011|55|39.6|Clouds|nublado|-48.665|-22.6681
2021-09-21 19:18:31|Parapuã|BR|2021-09-21 06:13:28|2021-09-21 18:18:47|3.68|204|10000|32.24|32.24|1007|16|30.03|Clouds|nublado|-50.7717|-21.7681
2021-09-21 19:18:35|Bananal|BR|2021-09-21 05:47:43|2021-09-21 17:52:58|2.84|182|10000|20.04|20.04|1016|91|20.48|Clouds|nublado|-44.3233|-22.6836
2021-09-21 19:18:38|São Bento do Sapucaí|BR|2021-09-21 05:53:21|2021-09-21 17:58:37|3.55|165|10000|17.46|24.73|1016|86|23.69|Clouds|nublado|-45.733|-22.6885
2021-09-21 19:18:42|General Salgado|BR|2021-09-21 06:11:48|2021-09-21 18:17:10|1.32|234|10000|31.69|31.69|1007|15|29.53|Clouds|algumas nuvens|-50.3606|-20.6483
2021-09-21 19:18:45|Vera Cruz|BR|2021-09-21 05:34:18|2021-09-21 17:40:04|2.23|78|10000|24.52|24.52|1012|41|24.1|Clear|céu limpo|-41.0333|-12.6333
2021-09-21 19:18:49|Rincão|BR|2021-09-21 06:02:40|2021-09-21 18:07:59|1.87|217|10000|35.12|35.12|1007|22|33.44|Clouds|nublado|-48.0708|-21.5869
2021-09-21 19:18:52|Roseira|BR|2021-09-21 05:51:38|2021-09-21 17:56:54|4.63|220|7000|19.51|26.78|1017|68|22.41|Clouds|nublado|-45.3053|-22.8981
2021-09-21 19:18:56|São Luiz do Paraitinga|BR|2021-09-21 05:51:40|2021-09-21 17:56:55|3.46|181|3891|18.12|21.5|1017|93|20.36|Clouds|nublado|-45.3109|-23.222
2021-09-21 19:18:59|Cajobi|BR|2021-09-21 06:05:36|2021-09-21 18:10:58|4.28|226|10000|34.9|34.9|1007|17|32.63|Clouds|nublado|-48.8094|-20.8797
2021-09-21 19:19:03|Vargem|BR|2021-09-21 05:57:49|2021-09-21 18:03:05|9.74|137|10000|19.64|19.64|1013|78|19.7|Clouds|nublado|-46.85|-22.7333
2021-09-21 19:19:06|Ouroeste|BR|2021-09-21 06:11:50|2021-09-21 18:17:14|0.57|173|10000|31.86|31.86|1007|15|29.67|Clear|céu limpo|-50.3736|-20.0014
dado_indisponivel|Sarapuí|BR|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel|dados_indisponivel|dado_indisponivel|dado_indisponivel|dado_indisponivel
2021-09-21 19:19:13|Uchoa|BR|2021-09-21 06:07:04|2021-09-21 18:12:25|4.03|215|10000|35.17|35.17|1007|17|32.91|Clouds|nublado|-49.1747|-20.9528
2021-09-21 19:19:17|Torrinha|BR|2021-09-21 06:03:05|2021-09-21 18:08:22|8.96|147|10000|22.83|22.83|1012|65|22.87|Clouds|nuvens dispersas|-48.1692|-22.4261
2021-09-21 19:19:20|Rinópolis|BR|2021-09-21 06:13:16|2021-09-21 18:18:36|3.54|207|10000|32.54|32.54|1007|16|30.3|Clouds|nublado|-50.7222|-21.7258
