titulo;data_inicio;data_fim;certificado;icone;carga_horaria;exercicios;certficate_auths;cod_auths
Python Scikit-Learn: regressão, classificação e clustering;2020-05-31;2020-06-04;https://cursos.alura.com.br/user/viniantunes/course/scikit-learn-regressao-classificacao-clustering/certificate;https://www.alura.com.br/assets/api/cursos/scikit-learn-regressao-classificacao-clustering.svg;10;41;https://cursos.alura.com.br/certificate/e3dda08e-d1b3-40e4-9fcf-89aa220629b7;e3dda08e-d1b3-40e4-9fcf-89aa220629b7
Corretor Ortográfico em Python: Aplicando técnicas de NLP;2020-06-04;2020-06-05;https://cursos.alura.com.br/user/viniantunes/course/nlp-corretor-ortografico/certificate;https://www.alura.com.br/assets/api/cursos/nlp-corretor-ortografico.svg;10;65;https://cursos.alura.com.br/certificate/c99a6fa3-2550-43db-a8ec-a9629950706c;c99a6fa3-2550-43db-a8ec-a9629950706c
Engenharia de dados: Conceitos para Gestores;2020-05-25;2020-06-14;https://cursos.alura.com.br/user/viniantunes/course/intro-engenharia-de-dados/certificate;https://www.alura.com.br/assets/api/cursos/intro-engenharia-de-dados.svg;10;33;https://cursos.alura.com.br/certificate/5eda8b64-8ac3-49f8-ab86-7e3c289c4326;5eda8b64-8ac3-49f8-ab86-7e3c289c4326
Matemática: Operações com Matrizes;2020-06-24;2020-06-24;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-matrizes/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-matrizes.svg;8;35;https://cursos.alura.com.br/certificate/80fb1460-6dce-43e8-b627-34b1e7b01cc5;80fb1460-6dce-43e8-b627-34b1e7b01cc5
Data Analytics: Machine Learning no Marketing Digital;2020-06-13;2020-06-28;https://cursos.alura.com.br/user/viniantunes/course/machine-learning-marketing-digital/certificate;https://www.alura.com.br/assets/api/cursos/machine-learning-marketing-digital.svg;16;44;https://cursos.alura.com.br/certificate/59af1363-d54e-43f9-b784-416e1fcf8ed3;59af1363-d54e-43f9-b784-416e1fcf8ed3
Modelos Matemáticos: usando Funções no R^n;2020-06-24;2020-06-28;https://cursos.alura.com.br/user/viniantunes/course/modelos-matematicos-funcao-rn/certificate;https://www.alura.com.br/assets/api/cursos/modelos-matematicos-funcao-rn.svg;3;36;https://cursos.alura.com.br/certificate/b59d1c92-5c28-47fe-b905-fc6bb190eb45;b59d1c92-5c28-47fe-b905-fc6bb190eb45
Marketing digital: Fundamentos para seu planejamento on-line;2020-07-04;2020-07-25;https://cursos.alura.com.br/user/viniantunes/course/fundamentos-market-digital/certificate;https://www.alura.com.br/assets/api/cursos/fundamentos-market-digital.svg;12;43;https://cursos.alura.com.br/certificate/fefd2e64-6940-4dec-bde1-764dca346b34;fefd2e64-6940-4dec-bde1-764dca346b34
Machine Learning: Introdução a classificação com SKLearn;2020-06-28;2020-09-13;https://cursos.alura.com.br/user/viniantunes/course/machine-learning-introducao-a-classificacao-com-sklearn/certificate;https://www.alura.com.br/assets/api/cursos/machine-learning-introducao-a-classificacao-com-sklearn.svg;8;38;https://cursos.alura.com.br/certificate/07b085f0-da25-4024-a616-c511a39cb126;07b085f0-da25-4024-a616-c511a39cb126
Java OO: Introdução à Orientação a Objetos;2020-09-16;2020-09-19;https://cursos.alura.com.br/user/viniantunes/course/java-introducao-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/java-introducao-orientacao-objetos.svg;8;58;https://cursos.alura.com.br/certificate/07046a2e-799f-4960-ac6c-b6dc85b44921;07046a2e-799f-4960-ac6c-b6dc85b44921
Branding: Criando uma marca forte;2020-07-26;2020-09-25;https://cursos.alura.com.br/user/viniantunes/course/branding/certificate;https://www.alura.com.br/assets/api/cursos/branding.svg;8;58;https://cursos.alura.com.br/certificate/8fb0d8ee-3769-4cac-a055-c278c40e294b;8fb0d8ee-3769-4cac-a055-c278c40e294b
Java Polimorfismo: Entenda herança e interfaces;2020-09-19;2020-10-03;https://cursos.alura.com.br/user/viniantunes/course/java-heranca-interfaces-polimorfismo/certificate;https://www.alura.com.br/assets/api/cursos/java-heranca-interfaces-polimorfismo.svg;16;74;https://cursos.alura.com.br/certificate/2b1695de-bff8-486e-af6b-2bf89cb68d2a;2b1695de-bff8-486e-af6b-2bf89cb68d2a
Matemática: derivadas no Rn;2020-06-28;2020-10-10;https://cursos.alura.com.br/user/viniantunes/course/matematica-derivadas-rn/certificate;https://www.alura.com.br/assets/api/cursos/matematica-derivadas-rn.svg;8;45;https://cursos.alura.com.br/certificate/3530661b-3df6-401d-919f-a0a3772fc5a3;3530661b-3df6-401d-919f-a0a3772fc5a3
Java Exceções: Aprenda a criar, lançar e controlar exceções;2020-10-03;2020-10-10;https://cursos.alura.com.br/user/viniantunes/course/java-excecoes/certificate;https://www.alura.com.br/assets/api/cursos/java-excecoes.svg;12;62;https://cursos.alura.com.br/certificate/33ba245f-f617-4568-8715-150d36776974;33ba245f-f617-4568-8715-150d36776974
Scraping com Python: Coleta de dados na web;2021-01-02;2021-01-02;https://cursos.alura.com.br/user/viniantunes/course/web-scraping-data-science-python/certificate;https://www.alura.com.br/assets/api/cursos/web-scraping-data-science-python.svg;10;69;https://cursos.alura.com.br/certificate/7b99520b-d4f5-46b7-a315-0189154a09be;7b99520b-d4f5-46b7-a315-0189154a09be
Machine Learning: Intro a sistemas de recomendação em Python;2020-12-18;2021-01-04;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-sistemas-de-recomendacao-com-python/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-sistemas-de-recomendacao-com-python.svg;8;40;https://cursos.alura.com.br/certificate/e11e8642-c9e3-486b-b101-2ec21dc07a60;e11e8642-c9e3-486b-b101-2ec21dc07a60
Data Science: Introdução a testes estatísticos com Python;2021-02-04;2021-02-07;https://cursos.alura.com.br/user/viniantunes/course/data-science-introducao-a-testes-estatisticos-com-python/certificate;https://www.alura.com.br/assets/api/cursos/data-science-introducao-a-testes-estatisticos-com-python.svg;6;43;https://cursos.alura.com.br/certificate/afd0c391-fccf-45c4-bb64-16067336af48;afd0c391-fccf-45c4-bb64-16067336af48
Introdução à experimentação: Análise de experimentos.;2021-02-07;2021-02-14;https://cursos.alura.com.br/user/viniantunes/course/analise-de-experimentos/certificate;https://www.alura.com.br/assets/api/cursos/analise-de-experimentos.svg;6;49;https://cursos.alura.com.br/certificate/78de0a88-d8b1-4b10-83a6-38f6a5b1648e;78de0a88-d8b1-4b10-83a6-38f6a5b1648e
Estatística com Python parte 4: Correlação e Regressão;2021-02-14;2021-04-05;https://cursos.alura.com.br/user/viniantunes/course/estatistica-correlacao-regressao/certificate;https://www.alura.com.br/assets/api/cursos/estatistica-correlacao-regressao.svg;10;56;https://cursos.alura.com.br/certificate/f0fc4865-2a29-4d29-8c8c-31ffbb0cc5b3;f0fc4865-2a29-4d29-8c8c-31ffbb0cc5b3
Machine Learning: Classificação por trás dos panos;2021-04-06;2021-04-08;https://cursos.alura.com.br/user/viniantunes/course/introducao-a-machine-learning-com-classificacao/certificate;https://www.alura.com.br/assets/api/cursos/introducao-a-machine-learning-com-classificacao.svg;10;93;https://cursos.alura.com.br/certificate/2fca5153-2ad6-47d0-bc1f-e39037b94f28;2fca5153-2ad6-47d0-bc1f-e39037b94f28
